CASE,OFFENSE,OFFENSE DESCRIPTION,REPORT DATE,OCCUR DATE,DAY OF WEEK ,LOCATION ,Location 1
SL201349197,5499-6,TRAFFIC,04/02/2013 10:04:00 AM,04/02/2013 10:04:00 AM,3,"500 N REDWOOD RD
Salt Lake City, Utah
(40.78028133000049, -111.93936157599967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013158839,5499-6,TRAFFIC,10/02/2013 02:15:00 PM,10/02/2013 02:15:00 PM,4,"4400 W COMMERCIAL WAY
Salt Lake City, Utah
(40.74543757200047, -111.99427685599971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013200053,5499-7,TRAFFIC,12/20/2013 07:49:00 AM,12/20/2013 07:49:00 AM,6,"1900 W SIR ROBERT DR
Salt Lake City, Utah
(40.78128199800045, -111.94627607499967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013177867,5499-8,TRAFFIC,11/07/2013 08:38:00 PM,11/07/2013 08:38:00 PM,5,"600 S 300 W
Salt Lake City, Utah
(40.75621014900048, -111.89972319599968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201363219,5499-6,TRAFFIC,04/27/2013 03:21:00 PM,04/27/2013 03:21:00 PM,7,"800 S MAIN ST
Salt Lake City, Utah
(40.7518702160005, -111.8910829829997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013103318,5499-1,TRAFFIC,07/03/2013 09:23:00 AM,07/03/2013 09:23:00 AM,4,"1300 E 11400 S
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013155836,5499-7,TRAFFIC,09/26/2013 05:43:00 PM,09/26/2013 12:00:00 AM,5,"200 W 600 S
Salt Lake City, Utah
(40.75632706100049, -111.89692783099969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013139954,5499-7,TRAFFIC,08/30/2013 07:45:00 AM,08/30/2013 12:00:00 AM,6,"100 E 1700 S
Salt Lake City, Utah
(40.733493318000455, -111.88810814999971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013195978,5404-0,TRAFFIC,12/13/2013 01:59:00 AM,12/13/2013 01:59:00 AM,6,"700 W NORTH TEMPLE ST
Salt Lake City, Utah
(40.77162788600049, -111.91150595399967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201357680,5499-8,TRAFFIC,04/17/2013 02:34:00 PM,04/17/2013 12:00:00 AM,4,"1ST AVE / STATE ST
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201381410,5499-8,TRAFFIC,05/28/2013 05:50:00 PM,05/28/2013 12:00:00 AM,3,"700 E SOUTH TEMPLE ST
Salt Lake City, Utah
(40.76934579300047, -111.87093910699969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013110022,5499-12,TRAFFIC,07/13/2013 07:02:00 AM,07/13/2013 07:02:00 AM,7,"2100 S 300 E
Salt Lake City, Utah
(40.72537099200048, -111.88257341099967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013173665,5499-0,TRAFFIC,10/30/2013 07:26:00 PM,10/30/2013 12:00:00 AM,4,"900 E SOUTH TEMPLE ST
Salt Lake City, Utah
(40.76933693600046, -111.86520873399968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201378954,5499-8,TRAFFIC,05/24/2013 11:14:00 AM,05/24/2013 12:00:00 AM,6,"300 S WEST TEMPLE ST
Salt Lake City, Utah
(40.762693354000476, -111.8939928259997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201340454,5401-0,TRAFFIC,03/17/2013 12:50:00 PM,03/17/2013 12:50:00 PM,1,"1200 W CALIFORNIA AVE
Salt Lake City, Utah
(40.740489735000494, -111.92596544299971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201367204,5499-8,TRAFFIC,05/04/2013 12:15:00 PM,05/04/2013 12:00:00 AM,7,"400 S 600 E
Salt Lake City, Utah
(40.7604617720005, -111.87402655799968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201347363,5499-7,TRAFFIC,03/29/2013 09:18:00 PM,03/29/2013 12:00:00 AM,6,"2700 S 700 E
Salt Lake City, Utah
(40.712590229000455, -111.8713015829997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201391887,5499-8,TRAFFIC,06/14/2013 08:57:00 PM,06/14/2013 12:00:00 AM,6,"2200 S 1300 E
Salt Lake City, Utah
(40.72281101700048, -111.85368533999969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201321198,5499-2,TRAFFIC,02/10/2013 12:53:00 AM,02/10/2013 12:53:00 AM,1,"2100 S KING ST
Salt Lake City, Utah
(40.725773699000456, -111.82142461899969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201373853,5499-8,TRAFFIC,05/15/2013 12:25:00 PM,05/15/2013 12:00:00 AM,4,"200 S 500 E
Salt Lake City, Utah
(40.76493388600045, -111.8768138849997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201365267,5403-0,TRAFFIC,05/01/2013 08:43:00 AM,05/01/2013 08:08:00 AM,4,"00 W 600 S
Salt Lake City, Utah
(40.75629762000045, -111.93033773099967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013146053,5499-8,TRAFFIC,09/09/2013 08:26:00 AM,09/09/2013 12:00:00 AM,2,"2900 W CALIFORNIA AVE
Salt Lake City, Utah
(40.74052817900048, -111.96108019599967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013198991,5499-6,TRAFFIC,12/18/2013 03:41:00 PM,12/18/2013 03:41:00 PM,4,"1300 W 400 S
Salt Lake City, Utah
(40.7606713400005, -111.92850673799967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013122902,5499-8,TRAFFIC,08/02/2013 03:36:00 PM,08/02/2013 03:36:00 PM,6,"700 E 2100 S
Salt Lake City, Utah
(40.7254153180005, -111.87109883499971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013125580,5404-0,TRAFFIC,08/07/2013 12:05:00 AM,08/06/2013 11:50:00 PM,3,"200 S I15 NORTHBOUND FWY
Salt Lake City, Utah
(40.83251716600046, -111.91426679799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013193504,5499-7,TRAFFIC,12/08/2013 08:11:00 AM,12/08/2013 08:11:00 AM,1,"300 N MAIN ST
Salt Lake City, Utah
(40.77603335500049, -111.89110220599969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013127420,5499-6,TRAFFIC,08/09/2013 06:32:00 PM,08/09/2013 06:32:00 PM,6,"200 S RIO GRANDE ST
Salt Lake City, Utah
(40.76482373300047, -111.90411309999968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201398333,5499-7,TRAFFIC,06/25/2013 09:29:00 AM,06/25/2013 12:00:00 AM,3,"00 E 400 S
Salt Lake City, Utah
(40.760661008000454, -111.8911866739997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013160950,5499-8,TRAFFIC,10/06/2013 03:03:00 PM,10/06/2013 12:00:00 AM,1,"700 N 1200 W
Salt Lake City, Utah
(40.784612575000494, -111.9254751789997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013128314,5404-0,TRAFFIC,08/11/2013 02:24:00 AM,08/11/2013 02:24:00 AM,1,"900 S 600 W
Salt Lake City, Utah
(40.78243560700048, -111.91696701299969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201339750,5499-44,TRAFFIC,03/16/2013 05:01:00 AM,03/16/2013 05:01:00 AM,7,"1600 S REDWOOD RD
Salt Lake City, Utah
(40.7358212150005, -111.93909567499969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201332947,5401-0,TRAFFIC,03/04/2013 06:57:00 PM,03/04/2013 06:43:00 PM,2,"700 S 400 E
Salt Lake City, Utah
(40.75403120100049, -111.8796705739997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013133437,5499-12,TRAFFIC,08/19/2013 04:00:00 PM,08/19/2013 04:00:00 PM,2,"800 W 400 S
Salt Lake City, Utah
(40.760680196000465, -111.91559804999969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201380142,5499-84,TRAFFIC,05/26/2013 09:25:00 AM,05/26/2013 09:25:00 AM,1,"3600 WEST 600 NORTH
Salt Lake City, Utah
(40.78239485300048, -111.92297345699967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20133229,5499-7,TRAFFIC,01/07/2013 12:49:00 PM,01/07/2013 12:49:00 PM,2,"400 S REDWOOD RD
Salt Lake City, Utah
(40.76082113400048, -111.93907754299971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201383502,5404-0,TRAFFIC,06/01/2013 06:46:00 AM,06/01/2013 06:23:00 AM,7,"200 S 1300 E
Salt Lake City, Utah
(40.76493425900048, -111.8539117629997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201319374,5499-6,TRAFFIC,02/07/2013 07:36:00 AM,02/07/2013 07:36:00 AM,5,"1400 S MAIN ST
Salt Lake City, Utah
(40.73935976500047, -111.8911067299997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013115393,5499-8,TRAFFIC,07/21/2013 01:12:00 PM,07/21/2013 12:00:00 AM,1,"2100 S 700 E
Salt Lake City, Utah
(40.725352570000496, -111.87125125399967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201310758,5499-8,TRAFFIC,01/22/2013 09:54:00 AM,01/22/2013 12:00:00 AM,3,"1000 E 400 S
Salt Lake City, Utah
(40.76063404500047, -111.86194985799972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013152800,5499-8,TRAFFIC,09/20/2013 04:44:00 PM,09/20/2013 12:00:00 AM,6,"2100 E 2100 S
Salt Lake City, Utah
(40.72546323400047, -111.83069870099968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201344994,5499-7,TRAFFIC,03/25/2013 06:45:00 PM,03/25/2013 12:00:00 AM,2,"HUBBARD AVE / MILITARY DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201398336,5499-6,TRAFFIC,06/25/2013 10:10:00 AM,06/25/2013 10:10:00 AM,3,"1300 S 4400 W
Salt Lake City, Utah
(40.74759202300049, -111.9963658579997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013123983,5499-84,TRAFFIC,08/04/2013 10:28:00 AM,08/04/2013 10:28:00 AM,1,"700 N TERMINAL NORTHBOUND DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013186416,5401-0,TRAFFIC,11/24/2013 04:09:00 AM,11/24/2013 04:09:00 AM,1,"DULUTH AVE / CHICAGO ST
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013129233,5499-8,TRAFFIC,08/12/2013 05:25:00 PM,08/12/2013 05:25:00 PM,2,"PARLEYS WAY / WILSHIRE DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201346485,5499-8,TRAFFIC,03/28/2013 03:34:00 PM,03/28/2013 12:00:00 AM,5,"1400 W 600 N
Salt Lake City, Utah
(40.78244819100047, -111.9313109949997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20135019,5499-8,TRAFFIC,01/10/2013 05:59:00 PM,01/10/2013 12:00:00 AM,5,"1500 E 500 S
Salt Lake City, Utah
(40.736760217000494, -111.87679654299967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013202442,5499-7,TRAFFIC,12/24/2013 09:45:00 PM,12/24/2013 09:45:00 PM,3,"900 S 1300 E
Salt Lake City, Utah
(40.74971378000049, -111.85393387299968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201393255,5499-84,TRAFFIC,06/17/2013 01:44:00 AM,06/17/2013 01:44:00 AM,2,"3700 W TERMINAL WESTBOUND DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013161801,5499-7,TRAFFIC,10/08/2013 10:15:00 AM,10/08/2013 12:00:00 AM,3,"400 S 200 E
Salt Lake City, Utah
(40.760492429000465, -111.8853928369997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013150411,5499-6,TRAFFIC,09/16/2013 11:51:00 AM,09/16/2013 11:51:00 AM,2,"200 S RIO GRANDE ST
Salt Lake City, Utah
(40.76482373300047, -111.90411309999968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201373721,5499-8,TRAFFIC,05/15/2013 07:55:00 AM,05/15/2013 12:00:00 AM,4,"900 S 1900 E
Salt Lake City, Utah
(40.74970075500045, -111.83653572199967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201330774,5499-8,TRAFFIC,02/28/2013 04:56:00 PM,02/28/2013 12:00:00 AM,5,"400 S 500 E
Salt Lake City, Utah
(40.76046169800048, -111.8768161429997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201345188,5499-6,TRAFFIC,03/26/2013 06:07:00 AM,03/26/2013 06:07:00 AM,3,"400 W 400 S
Salt Lake City, Utah
(40.76068569200049, -111.9027568779997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201358550,5404-0,TRAFFIC,04/18/2013 11:26:00 PM,04/18/2013 11:26:00 PM,5,"600 S 900 E
Salt Lake City, Utah
(40.75624094500046, -111.86537104499968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013173955,5499-8,TRAFFIC,10/31/2013 11:11:00 AM,10/31/2013 12:00:00 AM,5,"2600 S HIGHLAND DR
Salt Lake City, Utah
(40.71535082100047, -111.85606468799966)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201389580,5401-0,TRAFFIC,06/11/2013 10:12:00 AM,06/09/2013 03:40:00 PM,1,"700 E 600 S
Salt Lake City, Utah
(40.75629676900047, -111.87094740199967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013176480,5499-8,TRAFFIC,11/05/2013 09:00:00 AM,11/05/2013 09:00:00 AM,3,"400 S 900 W
Salt Lake City, Utah
(40.76041629600047, -111.91686560499971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013122232,5401-0,TRAFFIC,08/01/2013 02:22:00 PM,08/01/2013 02:22:00 PM,5,"600 E 400 S
Salt Lake City, Utah
(40.76052489300048, -111.87375096899967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013190302,5499-6,TRAFFIC,12/02/2013 02:14:00 PM,12/02/2013 02:14:00 PM,2,"1600 W INDIANA AVE
Salt Lake City, Utah
(40.751288187000455, -111.93653083199968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013163916,5499-11,TRAFFIC,10/12/2013 07:17:00 AM,10/12/2013 07:17:00 AM,7,"1300 S MAIN ST
Salt Lake City, Utah
(40.7415120870005, -111.89111371099972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201384081,5499-6,TRAFFIC,06/02/2013 01:40:00 AM,06/02/2013 01:40:00 AM,1,"100 N 2200 W
Salt Lake City, Utah
(40.7715839170005, -111.95348380699971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201397248,5499-8,TRAFFIC,06/23/2013 11:12:00 AM,06/23/2013 12:00:00 AM,1,"500 S 300 E
Salt Lake City, Utah
(40.7583907450005, -111.88257936999969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013141060,5499-12,TRAFFIC,08/31/2013 11:01:00 PM,08/31/2013 11:01:00 PM,7,"2300 E 2100 S
Salt Lake City, Utah
(40.72069164700048, -111.8308873309997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013182290,5499-7,TRAFFIC,11/16/2013 04:26:00 AM,11/16/2013 04:26:00 AM,7,"600 S 800 E
Salt Lake City, Utah
(40.75625414700045, -111.86831113799968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013105683,5499-8,TRAFFIC,07/06/2013 06:53:00 PM,07/06/2013 12:00:00 AM,7,"1300 E 2100 S
Salt Lake City, Utah
(40.7253929580005, -111.85348011999969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201380623,5499-12,TRAFFIC,05/27/2013 07:09:00 AM,05/27/2013 07:09:00 AM,2,"100 N C ST
Salt Lake City, Utah
(40.771800580000445, -111.88052862399968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201320597,5499-0,TRAFFIC,02/09/2013 06:41:00 AM,02/09/2013 05:56:00 AM,7,"1900 N BECK ST
Salt Lake City, Utah
(40.80989606000048, -111.91852234399971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201310383,5499-7,TRAFFIC,01/21/2013 10:48:00 AM,01/21/2013 10:48:00 AM,2,"2700 S HIGHLAND DR
Salt Lake City, Utah
(40.71260843500045, -111.8553884969997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013148616,5499-8,TRAFFIC,09/13/2013 08:31:00 AM,09/13/2013 12:00:00 AM,6,"FOOTHILL DR / MARIO CAPECCHI DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201354224,5404-0,TRAFFIC,04/11/2013 05:21:00 AM,04/11/2013 04:44:00 AM,5,"600 N 3700 W
Salt Lake City, Utah
(40.78230238100048, -111.98006285199972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201348843,5401-0,TRAFFIC,04/01/2013 03:07:00 PM,04/01/2013 03:07:00 PM,2,"900 E 2100 S
Salt Lake City, Utah
(40.72539374100046, -111.8652398109997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013129591,5499-8,TRAFFIC,08/13/2013 10:10:00 AM,08/13/2013 12:00:00 AM,3,"400 W 1300 S
Salt Lake City, Utah
(40.741620284000476, -111.9026758919997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201379769,5499-8,TRAFFIC,05/25/2013 05:08:00 PM,05/25/2013 05:08:00 PM,7,"700 E 500 S
Salt Lake City, Utah
(40.75845783700049, -111.87096068299968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201311755,5499-0,TRAFFIC,01/24/2013 07:00:00 AM,01/24/2013 12:00:00 AM,5,"NORTH TEMPLE ST / WEST TEMPLE ST
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201326789,5499-8,TRAFFIC,02/21/2013 03:15:00 AM,02/21/2013 02:45:00 AM,5,"500 N TERMINAL NORTHBOUND DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201392267,5499-8,TRAFFIC,06/15/2013 01:51:00 PM,06/15/2013 12:00:00 AM,7,"400 W 500 S
Salt Lake City, Utah
(40.75851873100049, -111.90275578899968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201348396,5499-7,TRAFFIC,03/31/2013 06:53:00 PM,03/31/2013 06:53:00 PM,1,"1100 E CHANDLER DR
Salt Lake City, Utah
(40.78033712700045, -111.8563911709997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201338184,5499-8,TRAFFIC,03/13/2013 07:29:00 PM,03/13/2013 12:00:00 AM,4,"1900 S 1300 E
Salt Lake City, Utah
(40.728804323000475, -111.85395547699972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013171472,5499-8,TRAFFIC,10/26/2013 12:21:00 PM,10/26/2013 12:00:00 AM,7,"1300 E 2100 S
Salt Lake City, Utah
(40.7253929580005, -111.85348011999969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013200600,5404-0,TRAFFIC,12/21/2013 12:50:00 AM,12/21/2013 12:50:00 AM,7,"300 S WEST TEMPLE ST
Salt Lake City, Utah
(40.762693354000476, -111.8939928259997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013176164,5499-7,TRAFFIC,11/04/2013 03:06:00 PM,11/04/2013 03:06:00 PM,2,"600 S MAIN ST
Salt Lake City, Utah
(40.75621004700048, -111.89123346199972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
